PID: 2, TP: 100, CP: 101, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 6900
PID: 3, TP: 371, CP: 372, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 2629
PID: 3, TP: 378, CP: 379, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 2622
PID: 4, TP: 9, CP: 10, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 2991
PID: 4, TP: 44, CP: 45, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 2956
PID: 5, TP: 65, CP: 66, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 7935
PID: 5, TP: 67, CP: 68, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 7933
PID: 5, TP: 67, CP: 68, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 7933
PID: 5, TP: 67, CP: 68, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 7933
PID: 5, TP: 302, CP: 303, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 7698
PID: 4, TP: 44, CP: 45, Estado: PRONTO, NES: 2, N_CPU: 2, Tempo Restante: 2956
PID: 6, TP: 23, CP: 24, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 1977
PID: 6, TP: 97, CP: 98, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 1903
PID: 5, TP: 302, CP: 303, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 7698
PID: 7, TP: 431, CP: 432, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 4569
PID: 7, TP: 432, CP: 433, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 4568
PID: 7, TP: 432, CP: 433, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 4568
PID: 6, TP: 97, CP: 98, Estado: PRONTO, NES: 2, N_CPU: 2, Tempo Restante: 1903
PID: 7, TP: 432, CP: 433, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 4568
PID: 7, TP: 569, CP: 570, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 4431
PID: 7, TP: 569, CP: 570, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 4431
PID: 8, TP: 53, CP: 54, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 3947
PID: 8, TP: 74, CP: 75, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 3926
PID: 3, TP: 378, CP: 379, Estado: PRONTO, NES: 2, N_CPU: 2, Tempo Restante: 2622
PID: 9, TP: 131, CP: 132, Estado: EXECUTANDO, NES: 1, N_CPU: 2, Tempo Restante: 9869
PID: 9, TP: 153, CP: 154, Estado: BLOQUEADO, NES: 2, N_CPU: 2, Tempo Restante: 9847
PID: 0, TP: 96, CP: 97, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 9904
PID: 0, TP: 386, CP: 387, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 9614
PID: 0, TP: 386, CP: 387, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 9614
PID: 0, TP: 386, CP: 387, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 9614
PID: 0, TP: 456, CP: 457, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 9544
PID: 0, TP: 456, CP: 457, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 9544
PID: 0, TP: 456, CP: 457, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 9544
PID: 0, TP: 680, CP: 681, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 9320
PID: 0, TP: 680, CP: 681, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 9320
PID: 1, TP: 291, CP: 292, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 4709
PID: 1, TP: 375, CP: 376, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 4625
PID: 9, TP: 153, CP: 154, Estado: PRONTO, NES: 2, N_CPU: 2, Tempo Restante: 9847
PID: 1, TP: 375, CP: 376, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 4625
PID: 2, TP: 100, CP: 101, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 6900
PID: 2, TP: 273, CP: 274, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 6727
PID: 8, TP: 74, CP: 75, Estado: PRONTO, NES: 2, N_CPU: 2, Tempo Restante: 3926
